,Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
351,7647,01/31/2013,0.630238861,0.630397781
352,7667,02/28/2013,0.658457892,0.658631364
353,7688,03/29/2013,0.658978583,0.65915233
354,7710,04/30/2013,0.6434592370000001,0.643624895
355,7733,05/31/2013,0.658718135,0.658891744
356,7753,06/28/2013,0.658284511,0.658457892
357,7776,07/31/2013,0.658457892,0.658631364
358,7798,08/30/2013,0.646078305,0.646245315
359,7819,09/30/2013,0.6177033789999999,0.61785604
360,7842,10/31/2013,0.62289772,0.62305296
361,7863,11/29/2013,0.610873549,0.6110228520000001
362,7885,12/31/2013,0.6035731529999999,0.6037189079999999
363,7908,01/31/2014,0.607828835,0.607976654
364,7928,02/28/2014,0.596587519,0.59672992
365,7949,03/31/2014,0.5995922770000001,0.599736116
366,7971,04/30/2014,0.592452159,0.592592593
367,7993,05/30/2014,0.596516345,0.596658711
368,8014,06/30/2014,0.584624379,0.584761125
369,8037,07/31/2014,0.592206562,0.592346878
370,8058,08/29/2014,0.602990835,0.603136309
371,8080,09/30/2014,0.616788996,0.616941206
372,8103,10/31/2014,0.625,0.625156289
373,8123,11/28/2014,0.639427073,0.639590662
374,8146,12/31/2014,0.641560275,0.641724957
375,8168,01/30/2015,0.665114732,0.66529173
376,8188,02/27/2015,0.647668394,0.647836227
377,8210,03/31/2015,0.67335533,0.6735367409999999
378,8232,04/30/2015,0.651678071,0.651847989
379,8253,05/29/2015,0.655093351,0.655265055
380,8275,06/30/2015,0.636213259,0.636375207
381,8298,07/31/2015,0.639549757,0.639713408
382,8319,08/31/2015,0.650533437,0.650702759
383,8341,09/30/2015,0.6610696110000001,0.661244462
384,8363,10/30/2015,0.647249191,0.647416807
385,8384,11/30/2015,0.6645843029999999,0.664761018
386,8407,12/31/2015,0.6779661020000001,0.678150007
387,8428,01/29/2016,0.7044237809999999,0.7046223220000001
